term_en,term_vi,abbr,definition,topics,confused_with
Ablation Study,Nghiên cứu loại bỏ,,Thí nghiệm lần lượt bỏ từng thành phần của mô hình để chứng minh thành phần đó thực sự đóng góp vào kết quả. Bắt buộc có trong bài báo tốt.,ML cơ bản,
Accuracy,Độ chính xác,,Tỷ lệ dự đoán đúng trên tổng số mẫu. Dễ gây hiểu lầm khi dữ liệu mất cân bằng giữa các lớp.,ML cơ bản,
Activation Function,Hàm kích hoạt,,Hàm phi tuyến đặt sau mỗi lớp để mạng học được quan hệ phi tuyến. Phổ biến nhất là ReLU; lớp đầu ra phân loại thường dùng Softmax.,Deep Learning,
Anomaly Detection,Phát hiện bất thường,,"Dùng Reconstruction Loss làm tín hiệu: dữ liệu giống tập huấn luyện cho loss thấp, dữ liệu bất thường cho loss cao vượt ngưỡng.",Autoencoder; ML cơ bản,
Attention,Cơ chế chú ý,,"Cơ chế cho phép mô hình quyết định nên tập trung vào phần nào của đầu vào, bằng cách tính tổng có trọng số của các Value dựa trên độ khớp giữa Query và Key.",Transformer/CLIP,
Autoencoder,Mạng tự mã hóa,AE,"Mạng nơ-ron học tự giám sát, nén dữ liệu đầu vào thành biểu diễn nhỏ hơn rồi tái tạo lại, qua đó học được các đặc trưng quan trọng nhất.",Autoencoder,
Backbone,Mạng xương sống / Mạng nền,,"Mạng trích xuất đặc trưng chính của một hệ thống, ví dụ ResNet, Inception hay ViT. CBM gốc dùng Inception-v3 làm backbone.",Deep Learning,
Backpropagation,Lan truyền ngược,,"Thuật toán tính gradient của hàm Loss theo từng trọng số bằng cách lan truyền sai số ngược từ đầu ra về đầu vào, dựa trên quy tắc chuỗi đạo hàm.",ML cơ bản; Deep Learning,
Baseline,Mô hình đối chuẩn,,Mô hình hoặc phương pháp có sẵn dùng làm mốc so sánh cho phương pháp mới. Bài báo khoa học bắt buộc phải so với baseline hợp lý.,ML cơ bản,
Basis Vectors,Vectơ cơ sở,,Các vectơ gốc dùng làm hệ quy chiếu của không gian. Các cột của một Matrix cho biết các vectơ cơ sở sẽ đáp xuống đâu sau khi biến đổi.,Toán,
Batch Normalization,Chuẩn hóa theo lô,BN,Chuẩn hóa lại phân phối giá trị trong mỗi kênh dựa trên thống kê của batch hiện tại. Giúp mạng sâu hội tụ nhanh và ổn định hơn nhiều. Thứ tự chuẩn: Conv → BatchNorm → ReLU.,Deep Learning; CNN,"Chuẩn hóa dữ liệu đầu vào (chia 255) — việc đó chỉ làm một lần ở Input, còn BN nằm giữa mạng và học được tham số"
Batch Size,Kích thước lô,,Số mẫu dữ liệu đưa vào mô hình trong một lần cập nhật trọng số.,ML cơ bản,
Binary Cross-Entropy,Entropy chéo nhị phân,BCE,"Hàm Loss dùng khi dữ liệu là nhị phân hoặc đã chuẩn hóa về [0,1]. Coi mỗi điểm như một bài toán xác suất độc lập.",ML cơ bản; Autoencoder,"MSE — chọn theo bản chất dữ liệu: liên tục dùng MSE, nhị phân/chuẩn hóa dùng BCE."
Black Box,Hộp đen,,"Mô hình chỉ thấy được đầu vào và đầu ra, không hiểu được cơ chế bên trong. Đây chính là vấn đề mà XAI sinh ra để giải quyết.",XAI,
Bottleneck,Nút thắt cổ chai,,"Lớp hẹp nhất nằm giữa Encoder và Decoder, chứa biểu diễn nén của dữ liệu. Là phần quan trọng nhất và trớ trêu thay lại là phần nhỏ nhất của mạng.",Autoencoder; CBM,"Latent Space — Bottleneck là lớp vật lý, Latent Space là không gian toán học mà vectơ tại nút thắt nằm trong."
Calibration,Hiệu chỉnh xác suất,,Mức độ mà điểm tin cậy của mô hình phản ánh đúng xác suất thực tế. Quan trọng khi đánh giá độ tin cậy của khái niệm trong CBM và của điểm số CLIP.,ML cơ bản; XAI,
Choice Blindness,Mù lựa chọn,,"Con người không nhớ chính xác lựa chọn trước đó, và vẫn đưa ra lý do thuyết phục cho những lựa chọn mà họ chưa từng chọn.",XAI,
CLIP,CLIP (học tương phản ảnh - ngôn ngữ),,"Mô hình huấn luyện trên 400 triệu cặp ảnh-chữ, học một không gian nhúng chung cho cả ảnh lẫn văn bản. Là công cụ chấm điểm khái niệm tự động trong Label-free CBM.",Transformer/CLIP; CBM,
CLS Token,Token phân lớp,,Token đặc biệt thêm vào đầu chuỗi; vectơ tại vị trí này sau các lớp Transformer được dùng làm biểu diễn tổng thể của cả ảnh.,Transformer/CLIP,
Concept,Khái niệm,,"Một thuộc tính có nghĩa với con người, do người tạo hoặc chuyên gia định nghĩa. Ví dụ: 'mỏ đỏ', 'có gai xương', 'hẹp khe khớp'.",CBM,
Concept Accuracy,Độ chính xác khái niệm,,"Độ chính xác của riêng tầng dự đoán khái niệm (x-c), đo tách biệt với độ chính xác tác vụ cuối (c-y).",CBM,
Concept Activation Vector,Vectơ kích hoạt khái niệm,CAV,"Vectơ pháp tuyến của siêu phẳng tách ảnh có khái niệm với ảnh không có, trong không gian activation. Đại diện cho hướng của khái niệm đó.",XAI; CBM,
Concept Bottleneck Model,Mô hình nút thắt khái niệm,CBM,"Kiến trúc ép dữ liệu đi qua một tầng khái niệm con người đọc được trước khi ra nhãn cuối: x - c - y, thay vì đi thẳng x - y.",CBM,
Concept Entanglement,Rối khái niệm,,"Khái niệm học được lại mã hóa thông tin của các khái niệm KHÁC không liên quan. Cùng với leakage và impurity, đây là ba bệnh của VLM-CBM.",CBM,"Disentangled Representation — là trạng thái ngược lại, mục tiêu cần đạt."
Concept Leakage,Rò rỉ khái niệm,,"Hiện tượng giá trị khái niệm bí mật mã hóa thêm thông tin ngoài ý nghĩa đã nêu, khiến mô hình vẫn chính xác nhưng mất tính minh bạch. Đây là điểm yếu lớn nhất của CBM và là khe hở nghiên cứu đáng giá.",CBM,
Concept Predictor,Mạng dự đoán khái niệm,,"Mô đun đầu của CBM, nhận ảnh đầu vào x và dự đoán vectơ gồm K khái niệm.",CBM,
Concept Space,Không gian khái niệm,,Một Latent Space mà MỖI CHIỀU đã được gán nhãn một khái niệm con người hiểu được. Đây chính là thứ CBM tạo ra — có thể hiểu CBM là một latent space bị buộc phải diễn giải được.,CBM; XAI,Latent Space thông thường — không ai biết chiều thứ 42 nghĩa là gì
Confabulation,Bịa lý do,,"Con người ra quyết định trước rồi gắn lý do vào sau, mà vẫn tin đó là lý do thật. Bằng chứng thần kinh học: dấu hiệu quyết định xuất hiện trước tới 10 giây so với lúc ý thức được.",XAI,
Confusion Matrix,Ma trận nhầm lẫn,,"Bảng đối chiếu dự đoán với thực tế, gồm 4 ô: TP, TN, FP, FN. Mọi chỉ số phân loại đều suy ra từ bảng này.",ML cơ bản,
Contractive Autoencoder,Autoencoder co rút,CAE,"Phạt đạo hàm (Jacobian) của biểu diễn tiềm ẩn theo đầu vào, ép Latent Space bất biến với các nhiễu loạn nhỏ.",Autoencoder,Viết tắt CAE trùng với Convolutional Autoencoder — cần ghi rõ khi viết bài.
